,,Activation Date,Deactivation Date,Latitude,Longitude,Region,Site ID,Site Name
48_001_0647,1,26-Jul-05,25-Oct-06,31.779444,-95.705833,5,48_001_0647,Palestine C647
48_005_5013,2,2-Sep-05,,31.233889,-94.75,10,48_005_5013,Lufkin KLFK
48_021_0684,3,16-Aug-06,,30.140877,-97.4588971,11,48_021_0684,McKinney Roughs
48_025_0001,4,1-Jan-75,30-Jun-80,28.418889,-97.7525,14,48_025_0001,AC Jones High School
48_025_0641,5,26-Jul-05,18-Oct-06,28.359722,-97.79,14,48_025_0641,Beeville
48_027_0001,6,20-Sep-90,30-Dec-96,31.156667,-97.408333,9,48_027_0001,Draughton Miller Airport
48_027_0651,7,31-Jul-05,7-Nov-06,30.9975,-97.339444,9,48_027_0651,TEMPLE C651
48_027_1045,8,4-Oct-13,,31.1224187,-97.4310523,9,48_027_1045,Temple Georgia
48_027_1047,9,11-Jun-09,,31.0880022,-97.6797343,9,48_027_1047,Killeen Skylark Field
48_029_0001,10,1-Jan-77,31-Dec-81,29.281944,-98.295833,13,48_029_0001,Calveras State Park
48_029_0002,11,1-Jan-81,31-Dec-82,0,0,13,48_029_0002,Camp Bullis - TACB/SAMHD
48_029_0003,12,1-Jan-68,31-Dec-69,29.641944,-98.418611,13,48_029_0003,San Antonio
48_029_0004,13,1-Jan-68,31-Dec-69,29.52,-98.802778,13,48_029_0004,Culebra Road
48_029_0005,14,1-Jan-68,30-Jun-80,29.506111,-98.570278,13,48_029_0005,Oak Hills Country Club
48_029_0006,15,1-Jan-68,31-Dec-69,29.571944,-98.525278,13,48_029_0006,Cadillac Drive Water Pump Station
48_029_0007,16,1-Jan-68,31-Dec-69,29.520833,-98.477778,13,48_029_0007,San Antonio City Service Center
48_029_0008,17,1-Jan-68,31-Dec-74,29.520833,-98.477778,13,48_029_0008,Newport
48_029_0009,18,1-Jan-68,31-Dec-69,29.511111,-98.291944,13,48_029_0009,SARA Sewage Treatment Plant
48_029_0011,19,1-Jan-68,31-Dec-69,29.385556,-98.638333,13,48_029_0011,Lackland City Spring
48_029_0012,20,1-Jan-68,31-Dec-69,29.423611,-98.579167,13,48_029_0012,Hwy 90 Water Pump Station
48_029_0013,21,1-Jan-68,31-Dec-69,29.470833,-98.519444,13,48_029_0013,Edison Dr Water Pump Station
48_029_0014,22,1-Jan-68,31-Dec-69,29.561667,-98.68,13,48_029_0014,Helotes Park Estates
48_029_0015,23,1-Jan-68,31-Dec-69,29.444444,-98.413056,13,48_029_0015,Seale Road Water Pump Station
48_029_0017,24,1-Jan-68,31-Dec-69,29.3275,-98.5375,13,48_029_0017,Bexar Metro Water
48_029_0018,25,1-Jan-68,31-Dec-69,29.3525,-98.453889,13,48_029_0018,New Braunfels Rd City Service Center
48_029_0019,26,1-Jan-68,31-Dec-69,29.365,-98.318056,13,48_029_0019,Beck Road
48_029_0020,27,1-Jan-68,31-Dec-69,29.225556,-98.666667,13,48_029_0020,Somerset Water Pump Station
48_029_0021,28,1-Jan-68,31-Dec-73,29.266667,-98.386111,13,48_029_0021,Braunig Lake Power Plant
48_029_0022,29,1-Jan-69,31-Dec-83,29.527778,-98.474444,13,48_029_0022,San Antonio International Airport
48_029_0023,30,1-Jan-73,31-Dec-73,29.59,-98.641111,13,48_029_0023,Hills and Dales Water Company
48_029_0024,31,1-Jan-71,1-Jan-81,29.4375,-98.564444,13,48_029_0024,Flagle Street Water Pump Station
48_029_0026,32,1-Jan-71,30-Jun-80,29.367778,-98.543611,13,48_029_0026,Southcross
48_029_0027,33,1-Jan-71,30-Jun-80,29.435,-98.416111,13,48_029_0027,Gembler Fire Station
48_029_0029,34,1-Jan-71,1-Jan-73,29.508333,-98.403333,13,48_029_0029,Walzem Pump Station
48_029_0032,35,1-Jul-81,,29.51509,-98.620166,13,48_029_0032,San Antonio Northwest
48_029_0033,36,1-Jan-72,30-Jun-80,29.359444,-98.448889,13,48_029_0033,New Braunfels Road
48_029_0034,37,1-Jan-72,7-Oct-99,29.415278,-98.484722,13,48_029_0034,NW of Bowie &amp; Durange Streets Intersection
48_029_0035,38,1-Jan-73,31-Dec-76,29.44,-98.824722,13,48_029_0035,EPA-480290035
48_029_0036,39,1-Sep-72,11-Aug-98,29.504722,-98.538889,13,48_029_0036,San Antonio North
48_029_0037,40,1-Jan-75,31-Dec-76,29.4375,-98.564444,13,48_029_0037,Flagle Street
48_029_0038,41,1-Jan-75,31-Dec-80,29.370278,-98.545833,13,48_029_0038,West Southcross
48_029_0039,42,1-Jan-75,1-Jan-79,29.435,-98.4125,13,48_029_0039,Gembler
48_029_0040,43,5-Jan-74,31-Dec-88,29.361944,-98.447222,13,48_029_0040,South New Braunfels
48_029_0041,44,1-Jan-77,31-Dec-81,29.429167,-98.493889,13,48_029_0041,Salinas and Camaron
48_029_0042,45,1-Jan-79,30-Dec-96,29.372778,-98.54,13,48_029_0042,East Kelly AFB
48_029_0044,46,1-Jan-84,10-Jan-90,29.518889,-98.473056,13,48_029_0044,International Airport Loop
48_029_0045,47,1-Jan-80,31-Dec-85,29.588889,-98.358333,13,48_029_0045,Kings Mountain
48_029_0046,48,1-Sep-81,6-Oct-10,29.426944,-98.486389,13,48_029_0046,San Antonio Downtown
48_029_0047,49,1-Jan-82,30-Jun-83,29.316667,-98.45,13,48_029_0047,Espada Road
48_029_0048,50,1-Jan-83,31-Dec-87,29.440278,-98.6125,13,48_029_0048,Culebra Road 2
48_029_0050,51,1-Jan-71,30-Dec-96,29.530278,-98.478333,13,48_029_0050,IH-410 San Antonio International Airport
48_029_0051,52,13-Jul-94,,29.4450463,-98.406501,13,48_029_0051,San Antonio Seale
48_029_0052,53,10-Aug-98,,29.6320582,-98.5649364,13,48_029_0052,Camp Bullis
48_029_0053,54,6-Oct-99,,29.5877408,-98.3125118,13,48_029_0053,Selma
48_029_0055,55,11-Mar-99,,29.4072945,-98.431251,13,48_029_0055,CPS Pecan Valley
48_029_0059,56,12-May-98,,29.2753812,-98.3116919,13,48_029_0059,Calaveras Lake
48_029_0060,57,18-May-00,,29.4221832,-98.505381,13,48_029_0060,Frank Wing Municipal Court
48_029_0501,58,17-Jun-02,,29.276667,-98.724444,13,48_029_0501,Elm Creek Elementary
48_029_0502,59,27-Jun-02,,29.73,-98.625556,13,48_029_0502,Fair Oaks Ranch
48_029_0622,60,29-Jul-04,,29.3529047,-98.3328207,13,48_029_0622,Heritage Middle School
48_029_0623,61,28-Jun-05,,29.3319444,-98.3258333,13,48_029_0623,Gardner Rd. Gas Sub-Station
48_029_0625,62,1-Jun-05,,29.2922222,-98.3377778,13,48_029_0625,Gate 9A CPS
48_029_0626,63,1-Jun-05,,29.3177778,-98.3316667,13,48_029_0626,Gate 58 CPS
48_029_0676,64,1-Aug-06,,29.3327898,-98.5513832,13,48_029_0676,Palo Alto
48_029_0677,65,9-Oct-06,,29.4239439,-98.5804991,13,48_029_0677,Old Hwy 90
48_029_1001,66,1-Jan-81,31-Dec-82,29.466389,-98.448333,13,48_029_1001,Brooks Army Hospital
48_029_1002,67,1-Jul-82,31-Dec-88,29.473611,-98.431944,13,48_029_1002,Winans Road
48_029_1052,68,23-Jul-12,18-Dec-13,29.342,-98.472,13,48_029_1052,San Antonio 99th Street
48_029_1069,69,8-Jan-14,,29.5294,-98.39139,13,48_029_1069,San Antonio Interstate 35
48_029_1080,70,18-Nov-16,,29.352911,-98.332814,13,48_029_1080,San Antonio Gardner Road
48_029_2001,71,1-Jan-57,31-Dec-81,29.423333,-98.498611,13,48_029_2001,USEPA-480292001
48_029_2002,72,1-Jan-64,31-Dec-69,29.627778,-98.608889,13,48_029_2002,Fredericksburg Road
48_037_0001,73,1-Jan-64,31-Dec-80,33.436944,-94.078611,5,48_037_0001,USEPA-480370001
48_037_0003,74,1-Jan-78,31-Dec-88,33.429444,-94.052778,5,48_037_0003,Spruce Street
48_037_0004,75,1-Jan-99,25-Feb-16,33.4257582,-94.0708021,5,48_037_0004,Texarkana
48_037_0645,76,20-Jul-05,7-Nov-06,33.5,-94.12,5,48_037_0645,WAMBA Texarkana  NTRD
48_037_1031,77,23-Mar-16,,33.436111,-94.07778,5,48_037_1031,Texarkana New Boston
48_039_0001,78,1-Jan-72,31-Dec-81,29.395278,-95.235556,12,48_039_0001,Alvin Junior College
48_039_0618,79,1-Jun-03,,29.144291,-95.756601,12,48_039_0618,Danciger
48_039_0619,80,1-Jun-03,16-Nov-15,29.308562,-95.19991,12,48_039_0619,Mustang Bayou
48_039_1001,81,1-Jan-66,31-Dec-81,28.993889,-95.334722,12,48_039_1001,Oyster Creek Bend
48_039_1002,82,1-Jan-69,31-Dec-75,29.026944,-95.408333,12,48_039_1002,Hargett &amp; Main
48_039_1003,83,1-Jan-74,,29.0108409,-95.397744,12,48_039_1003,Clute
48_039_1004,84,23-Aug-01,,29.5204432,-95.3925089,12,48_039_1004,Manvel Croix Park
48_039_1012,85,25-May-11,,28.96443,-95.35483,12,48_039_1012,Freeport South Avenue I
48_039_1016,86,10-Jun-03,,29.0437592,-95.4729462,12,48_039_1016,Lake Jackson
48_039_1607,87,14-Dec-16,,29.010556,-95.313333,12,48_039_1607,Oyster Creek
48_041_0001,88,1-Jan-71,31-Dec-81,30.674722,-96.370833,9,48_041_0001,Courthouse Annex
48_041_5011,89,2-Sep-05,,30.5822222,-96.3511111,9,48_041_5011,College Station KCLL
48_043_0001,90,1-Jan-74,31-Dec-74,30.341667,-103.658333,6,48_043_0001,West Holland
48_043_0002,91,1-Mar-01,15-Nov-05,30.365833,-103.649167,6,48_043_0002,Sul Ross University
48_043_0101,92,1-Oct-90,,29.3025518,-103.1779076,6,48_043_0101,Bravo Big Bend
48_049_0001,93,1-Jan-67,30-Jun-80,31.729167,-99.016667,3,48_049_0001,Main &amp; Austin
48_049_0002,94,1-Jan-78,31-Dec-84,31.679444,-98.965278,3,48_049_0002,Indian Creek Road
48_053_0322,95,24-Jun-04,29-Jul-05,30.7324069,-98.2365001,11,48_053_0322,Burnet County Hospital C322
48_053_5009,96,17-Jun-04,,30.7388889,-98.2386111,11,48_053_5009,Burnet County Airport KBMQ
48_055_0062,97,12-Aug-98,5-Apr-03,29.888056,-97.877778,11,48_055_0062,San Marcos Airport
48_055_1604,98,24-Apr-14,,29.864917,-97.664936,11,48_055_1604,Lockhart
48_057_0001,99,1-Jan-71,31-Dec-80,28.675,-96.566667,14,48_057_0001,City Swimming Pool
48_057_0657,100,3-Oct-05,30-Jul-07,28.434167,-96.454722,14,48_057_0657,Port O Connor
48_061_0002,101,1-Jan-74,31-Dec-81,25.883056,-97.491944,15,48_061_0002,Texas Southwest College
48_061_0003,102,1-Jan-74,31-Dec-84,25.936944,-97.408611,15,48_061_0003,Navigation District Office
48_061_0004,103,1-Jan-76,30-Dec-96,25.912222,-97.493889,15,48_061_0004,Gladys Porter Zoo
48_061_0005,104,1-Jan-81,31-Dec-81,0,0,15,48_061_0005,Gladys Porter Zoo 2
48_061_0006,105,1-Jul-93,,25.8925176,-97.4938295,15,48_061_0006,Brownsville
48_061_1001,106,1-Jan-74,31-Dec-77,26.080833,-97.85,15,48_061_1001,St Margaret Ann Catholic Church
48_061_1002,107,1-Jan-81,31-Dec-88,26.208056,-97.695,15,48_061_1002,Sunshine Strip
48_061_1023,108,9-Oct-12,,26.2003347,-97.7126837,15,48_061_1023,Harlingen Teege
48_061_2001,109,1-Feb-61,31-Dec-88,26.206111,-97.718889,15,48_061_2001,Harlingen Water Works
48_061_2002,110,1-Jan-83,1-Feb-08,26.1351726,-97.6300394,15,48_061_2002,San Benito
48_061_2004,111,1-Aug-05,,26.0696153,-97.1621996,15,48_061_2004,Isla Blanca Park
48_061_3001,112,1-Jan-71,31-Dec-72,26.075,-97.208333,15,48_061_3001,City Hall
48_061_4001,113,1-Jan-69,31-Dec-81,26.135,-97.633333,15,48_061_4001,Water Works
48_065_0004,114,29-Jan-04,,35.3359717,-101.587083,1,48_065_0004,Pantex 4
48_065_0005,115,13-Jan-04,,35.3529795,-101.5806223,1,48_065_0005,Pantex 5
48_065_0007,116,12-Jul-99,,35.382749,-101.5608419,1,48_065_0007,Pantex 7
48_065_1001,117,9-Sep-92,26-Jun-95,35.1825,-101.621944,1,48_065_1001,Superfund Site
48_071_0001,118,1-Jan-67,4-Sep-83,29.6475,-94.916111,12,48_071_0001,Beach City Community Building
48_071_0002,119,1-Jan-67,31-Dec-75,29.856389,-94.895833,12,48_071_0002,Mt. Belvieu Fire Station
48_071_0003,120,1-Jan-69,31-Dec-71,29.767778,-94.677778,12,48_071_0003,Fahring Building
48_071_0004,121,1-Jan-72,31-Dec-75,29.818333,-94.377778,12,48_071_0004,Winnie Municipal Annex
48_071_0013,122,6-Sep-00,,29.5462437,-94.7869686,12,48_071_0013,Smith Point Hawkins Camp
48_071_0900,123,1-Aug-81,6-Dec-01,29.878889,-94.921389,12,48_071_0900,HRM 10 Mont Belvieu
48_071_0901,124,1-Aug-81,5-Dec-01,29.765833,-94.910278,12,48_071_0901,HRM 11 East Baytown
48_071_1606,125,15-Apr-16,,29.545789,-94.781386,12,48_071_1606,UH Smith Point
48_085_0001,126,1-Jan-81,1-Jul-99,33.145,-96.822778,4,48_085_0001,SE of Hickory Street &amp; 6th Street Intersection
48_085_0002,127,1-Jan-84,1-Mar-92,33.138889,-96.8275,4,48_085_0002,Gould Plant
48_085_0003,128,1-Jan-84,,33.1423361,-96.8246832,4,48_085_0003,Frisco 5th St
48_085_0005,129,7-May-92,,33.1324003,-96.7864188,4,48_085_0005,Frisco
48_085_0006,130,18-May-92,30-Dec-96,33.134444,-96.825,4,48_085_0006,Gould National Battery
48_085_0007,131,14-Jan-94,,33.1474141,-96.8257693,4,48_085_0007,Frisco 7
48_085_0008,132,14-Jan-94,30-Dec-96,33.1475,-96.828889,4,48_085_0008,Globe Union Battery
48_085_0009,133,15-Jan-95,,33.1446618,-96.8288087,4,48_085_0009,Frisco Eubanks
48_085_0010,134,9-Nov-99,1-Oct-04,33.355833,-96.551111,4,48_085_0010,Anna
48_085_0029,135,7-Jan-11,,33.1360249,-96.8244725,4,48_085_0029,Frisco Stonebrook
48_085_0085,136,1-Jan-86,31-Dec-86,33.246667,-96.656667,4,48_085_0085,Erwin City Park
48_091_0001,137,1-Jan-81,31-Dec-83,29.700278,-98.121111,13,48_091_0001,South Seguin Street
48_091_0002,138,1-Jan-81,27-Dec-84,29.721389,-98.126944,13,48_091_0002,North Central Street
48_091_0503,139,27-Aug-02,,29.7608333,-98.4627778,13,48_091_0503,Bulverde Elementary
48_091_0505,140,25-Mar-03,,29.6391667,-98.2986111,13,48_091_0505,City of Garden Ridge
48_097_1504,141,1-Oct-13,,33.63317,-97.153805,4,48_097_1504,Gainesville Doss Street
48_109_0001,142,1-Jan-74,31-Dec-81,31.041667,-104.833333,6,48_109_0001,Van Horn City Hall
48_109_0658,143,26-Apr-06,31-Jan-07,31.891111,-104.806111,6,48_109_0658,GUADALUPE MOUNTAIN NATIONAL PARK C658
48_109_5018,144,1-Aug-05,,31.831111,-104.814444,6,48_109_5018,Guadalupe Pass KGDP
48_113_0001,145,1-Jan-57,31-Dec-66,0,0,4,48_113_0001,USEPA-481130001
48_113_0002,146,1-Jan-68,31-Dec-81,32.744444,-96.873611,4,48_113_0002,USEPA-481130002
48_113_0003,147,1-Jan-71,30-Jun-80,32.771944,-96.836111,4,48_113_0003,West Commerce
48_113_0004,148,1-Jan-71,31-Dec-71,32.813889,-96.870833,4,48_113_0004,Envoy Court
48_113_0005,149,1-Jan-71,31-Dec-71,32.773611,-96.904167,4,48_113_0005,Chalk Hill
48_113_0008,150,1-Jan-71,31-Dec-80,32.836111,-96.836111,4,48_113_0008,Mockingbird Lane Fire Station
48_113_0011,151,1-Jan-71,31-Dec-71,32.773611,-96.795833,4,48_113_0011,South Akard Street
48_113_0012,152,1-Jan-71,31-Dec-71,32.786111,-96.805556,4,48_113_0012,McKinney Avenue
48_113_0018,153,1-Jan-69,1-Jun-16,32.744981,-96.7818829,4,48_113_0018,Morrell
48_113_0020,154,1-Jan-69,5-Jul-02,32.692222,-96.7925,4,48_113_0020,Lancaster
48_113_0023,155,1-Jan-71,30-Jun-80,32.780556,-96.855556,4,48_113_0023,North Hampton Fire Station
48_113_0027,156,1-Jan-71,31-Dec-75,32.736111,-96.686111,4,48_113_0027,Prichard Fire Station
48_113_0028,157,1-Jan-71,31-Dec-80,32.863889,-96.702778,4,48_113_0028,East Northwest Highway
48_113_0029,158,1-Jan-71,30-Jun-98,32.865,-96.808611,4,48_113_0029,N of Douglas &amp; Berkshire Intersection
48_113_0035,159,1-Jan-71,26-Dec-08,32.916667,-96.768611,4,48_113_0035,Coit
48_113_0036,160,1-Jan-71,31-Dec-74,32.772222,-96.747222,4,48_113_0036,Frank
48_113_0038,161,1-Jan-71,31-Dec-88,32.806944,-96.695833,4,48_113_0038,John West Road Fire Station
48_113_0039,162,1-Jan-71,31-Dec-81,32.872222,-96.8875,4,48_113_0039,Brewer
48_113_0040,163,1-Jan-71,31-Dec-80,32.719444,-96.890278,4,48_113_0040,Cockrell Hill Fire Station
48_113_0042,164,1-Jan-73,31-Dec-81,32.816667,-96.75,4,48_113_0042,Belmont
48_113_0044,165,1-Jan-72,31-Dec-88,32.825833,-96.863889,4,48_113_0044,West Mockingbird
48_113_0045,166,1-Jan-73,3-Nov-98,32.919722,-96.808056,4,48_113_0045,Dallas North C5
48_113_0046,167,1-Jan-74,31-Dec-99,32.770278,-96.765833,4,48_113_0046,Dallas Martin Luther King
48_113_0047,168,1-Jan-77,31-Dec-81,32.785,-96.793611,4,48_113_0047,Live Oak &amp; Pearl
48_113_0048,169,1-Jan-77,31-Dec-80,32.773611,-96.904167,4,48_113_0048,Chalk Hill 2
48_113_0049,170,1-Jan-79,31-Dec-88,32.783611,-96.861111,4,48_113_0049,Fish Trap Road
48_113_0050,171,1-Jan-79,,32.7742622,-96.7976859,4,48_113_0050,Convention Center
48_113_0051,172,1-Jan-79,31-Dec-79,32.784722,-96.833333,4,48_113_0051,Pavahoe Pump Station
48_113_0052,173,1-Jan-80,31-Dec-87,32.719444,-96.890833,4,48_113_0052,West Illinois
48_113_0053,174,30-Jan-81,1-Nov-98,32.783333,-96.797222,4,48_113_0053,Dallas Ervay
48_113_0055,175,1-Jan-82,1-Aug-94,32.616389,-96.756944,4,48_113_0055,Bonnie View
48_113_0056,176,1-Jan-81,28-Mar-87,32.735278,-96.774167,4,48_113_0056,Dallas-481130056
48_113_0057,177,1-Jan-82,29-Feb-08,32.7791925,-96.8732943,4,48_113_0057,Boy's Club
48_113_0058,178,1-Jan-82,31-Dec-83,32.779722,-96.874444,4,48_113_0058,B.T. Johnson
48_113_0059,179,1-Jan-82,31-Dec-86,32.775556,-96.870833,4,48_113_0059,Commerce Drive
48_113_0060,180,1-Jan-82,31-Dec-90,32.736111,-96.781667,4,48_113_0060,Pontiac &amp; Sargent
48_113_0061,181,1-Jan-09,,32.7853591,-96.8765711,4,48_113_0061,Earhart
48_113_0063,182,1-Jan-83,31-Dec-86,32.773889,-96.8775,4,48_113_0063,St. Germain
48_113_0064,183,1-Jan-83,31-Dec-94,32.737778,-96.779722,4,48_113_0064,Sargent Road
48_113_0065,184,1-Jan-83,31-Dec-94,32.7375,-96.782222,4,48_113_0065,Rector Street
48_113_0066,185,1-Jan-83,30-Sep-04,32.739722,-96.782778,4,48_113_0066,NOLEN
48_113_0067,186,1-Jan-84,31-Dec-89,32.779722,-96.875556,4,48_113_0067,Toronto Street
48_113_0068,187,1-Jan-85,31-Dec-87,32.769167,-96.8775,4,48_113_0068,La Reunion Parkway
48_113_0069,188,1-Jan-86,,32.8200608,-96.8601165,4,48_113_0069,Dallas Hinton
48_113_0070,189,1-Jan-92,1-Nov-96,32.764722,-96.929444,4,48_113_0070,New Micro
48_113_0071,190,17-Jun-91,30-Dec-96,32.921667,-96.916111,4,48_113_0071,GNB Battery
48_113_0072,191,17-Jul-91,30-Jun-99,32.588889,-96.963333,4,48_113_0072,North of Texas &amp; Houston Streets Intersection
48_113_0073,192,3-Oct-91,31-Dec-93,32.809722,-96.869722,4,48_113_0073,Palmer Paper Co.
48_113_0075,193,2-Nov-98,,32.9192056,-96.8084975,4,48_113_0075,Dallas North #2
48_113_0086,194,1-Jan-86,31-Dec-86,32.9861,-96.761944,4,48_113_0086,Coit Road
48_113_0087,195,1-Jan-95,,32.6764506,-96.8720596,4,48_113_0087,Dallas Redbird Airport Executive
48_113_1001,196,1-Jan-75,30-Jun-80,32.915556,-96.638056,4,48_113_1001,Austin Street
48_113_1002,197,1-Jan-76,31-Dec-84,32.926667,-96.638889,4,48_113_1002,School Administration Building
48_113_1003,198,1-Jan-82,31-Dec-83,0,0,4,48_113_1003,Globe Union Battery SW
48_113_1004,199,1-Jan-82,1-Apr-83,32.983889,-96.665556,4,48_113_1004,Globe Union Battery NW
48_113_1005,200,1-Jan-82,31-Dec-83,0,0,4,48_113_1005,Globe Union Battery NE
48_113_1006,201,17-Mar-94,24-Mar-03,32.910556,-96.669167,4,48_113_1006,Garland
48_113_1047,202,1-Jan-79,30-Sep-92,32.773611,-96.552778,4,48_113_1047,Long Creek
48_113_1067,203,1-Apr-14,,32.92118,-96.75355,4,48_113_1067,Dallas LBJ Freeway
48_113_1500,204,1-Sep-13,,32.630011,-96.800599,4,48_113_1500,Lancaster Cedardale
48_113_1505,205,18-Nov-13,,32.879107,-96.913552,4,48_113_1505,Dallas Elm Fork
48_113_2001,206,1-Jan-73,31-Dec-81,32.758056,-96.966667,4,48_113_2001,Graham Street
48_113_2002,207,1-Jan-72,30-Jul-83,32.741667,-97.008333,4,48_113_2002,West Main Street Fire Station
48_113_2003,208,1-Jan-73,31-Dec-75,32.742222,-96.95,4,48_113_2003,West Main
48_113_2004,209,1-Jan-73,31-Dec-81,32.720556,-96.983333,4,48_113_2004,Marshall
48_113_2005,210,1-Jan-73,31-Dec-81,32.743333,-97.02,4,48_113_2005,NW 13TH
48_113_3001,211,1-Jan-75,24-Jul-83,32.856111,-96.968333,4,48_113_3001,Haley Elementary School
48_113_3002,212,1-Jan-79,27-Dec-84,32.823333,-96.933611,4,48_113_3002,Austin Junior High School
48_113_3003,213,14-Nov-00,1-Apr-06,32.7693798,-96.5462988,4,48_113_3003,Sunnyvale Long Creek
48_113_3004,214,3-Jul-02,9-Sep-05,32.7106,-96.8033,4,48_113_3004,KEIST
48_121_0001,215,1-Jan-72,5-Aug-83,33.216667,-97.133333,4,48_121_0001,New City Hall
48_121_0002,216,1-May-92,31-Dec-92,33.186111,-97.193889,4,48_121_0002,Denton Municipal Airport
48_121_0033,217,16-Jun-93,25-Nov-97,33.206111,-97.195278,4,48_121_0033,Denton Municipal Airport on Airport Road
48_121_0034,218,16-Feb-98,,33.219069,-97.1962836,4,48_121_0034,Denton Airport South
