,,Activation Date,Deactivation Date,Latitude,Longitude,Region,Site ID,Site Name
48_121_0054,219,26-Jan-81,15-Dec-99,33.071944,-96.861389,4,48_121_0054,Denton Colony
48_121_1001,220,1-Jan-75,31-Dec-81,33.064444,-97.005833,4,48_121_1001,North Mill Street
48_121_1007,221,27-Oct-10,,33.0458619,-97.1300022,4,48_121_1007,Flower Mound Shiloh
48_121_1013,222,31-Mar-10,,33.13093,-97.29765,4,48_121_1013,DISH Airfield
48_121_1032,223,4-Apr-06,,33.4106476,-96.9445903,4,48_121_1032,Pilot Point
48_121_5008,224,22-Jan-03,,33.206111,-97.198889,4,48_121_5008,Denton Airport KDTO
48_123_1602,225,15-Apr-14,,29.134779,-97.276575,14,48_123_1602,Cuero
48_135_0001,226,1-Jan-63,31-Dec-83,31.873333,-102.345833,7,48_135_0001,USEPA-481350001
48_135_0002,227,19-Nov-75,10-Oct-91,31.872222,-102.3525,7,48_135_0002,University &amp; Park
48_135_0003,228,2-Feb-93,,31.8365747,-102.3420368,7,48_135_0003,Odessa-Hays Elementary School
48_135_0004,229,16-Aug-00,6-Jun-02,31.826389,-102.308333,7,48_135_0004,Odessa El Ranchito
48_135_1014,230,6-Jun-02,,31.8702534,-102.3347563,7,48_135_1014,Odessa Gonzales
48_139_0001,231,1-Jan-81,31-Dec-84,32.483889,-96.994444,4,48_139_0001,City Hall Roof
48_139_0002,232,1-Jan-85,31-Dec-86,32.435833,-96.671389,4,48_139_0002,North City Limits
48_139_0003,233,1-Jan-76,31-Dec-81,32.388333,-96.847222,4,48_139_0003,Optimist Ball Park
48_139_0004,234,18-Jan-91,30-Jan-93,32.498056,-97.003056,4,48_139_0004,Auger Road
48_139_0006,235,10-Mar-92,30-Apr-93,32.543333,-96.926667,4,48_139_0006,Gorman Road
48_139_0007,236,22-Mar-92,1-Apr-97,32.531667,-96.991389,4,48_139_0007,Tayman Drive Water Treatment Plant
48_139_0008,237,22-Mar-92,11-Apr-93,32.429722,-97.017778,4,48_139_0008,Mt. Creek Water Supply
48_139_0011,238,31-Aug-92,20-Oct-93,32.481389,-96.941389,4,48_139_0011,Hidden Valley Trail
48_139_0012,239,16-Jan-93,8-Jan-99,32.462222,-97.037222,4,48_139_0012,Chaparral Steel Company
48_139_0013,240,18-Jan-91,15-Oct-94,32.501389,-97.016111,4,48_139_0013,Auger Road Water Treatment Plant
48_139_0014,241,6-Nov-93,16-Jan-95,32.546111,-96.955278,4,48_139_0014,Box Crow Cement Company
48_139_0015,242,24-Oct-94,22-Aug-07,32.436667,-97.024444,4,48_139_0015,Midlothian Tower
48_139_0016,243,7-Nov-94,,32.4820829,-97.0268987,4,48_139_0016,Midlothian OFW
48_139_0017,244,20-Nov-99,7-Apr-06,32.473611,-97.0425,4,48_139_0017,Midlothian Wyatt Rd
48_139_0082,245,1-Mar-91,31-Dec-91,32.326111,-96.663611,4,48_139_0082,Ennis Airport
48_139_0084,246,1-Jan-85,21-Oct-94,32.461389,-97.005556,4,48_139_0084,Cedar Drive
48_139_0650,247,1-Aug-05,7-Nov-06,32.178333,-96.878056,4,48_139_0650,ITALY HIGH SCHOOL
48_139_1002,248,1-Jan-73,31-Dec-81,32.3875,-96.847222,4,48_139_1002,Water &amp; Elm
48_139_1044,249,21-Aug-07,,32.1754166,-96.8701892,4,48_139_1044,Italy
48_141_0001,250,1-Jan-57,31-Dec-95,31.760833,-106.483333,6,48_141_0001,USEPA-481410001
48_141_0002,251,1-Jan-69,21-May-13,31.7576535,-106.4829215,6,48_141_0002,Tillman
48_141_0003,252,1-Jan-78,31-Dec-87,31.8375,-106.579167,6,48_141_0003,Shorty Lane Fire Station
48_141_0004,253,1-Jan-74,31-Dec-81,31.588611,-106.228611,6,48_141_0004,Clint High School
48_141_0005,254,1-Jan-74,31-Dec-81,31.997222,-106.5975,6,48_141_0005,City Gas Pumps
48_141_0006,255,1-Jan-74,31-Dec-81,31.688333,-106.2075,6,48_141_0006,Darrington
48_141_0007,256,1-Jan-71,29-Dec-86,31.832222,-106.533333,6,48_141_0007,Coranado Fire Station
48_141_0008,257,1-Jan-71,31-Dec-75,31.794444,-106.513889,6,48_141_0008,Koger Building
48_141_0010,258,1-Jan-71,19-Aug-02,31.899722,-106.4125,6,48_141_0010,Northeast Clinic
48_141_0011,259,1-Jan-71,30-Oct-93,31.798611,-106.4,6,48_141_0011,Convair Road
48_141_0012,260,1-Jan-71,31-Dec-74,31.791667,-106.354167,6,48_141_0012,McCrae
48_141_0013,261,1-Jan-72,31-Dec-75,31.808333,-106.236111,6,48_141_0013,El Paso Natural Gas
48_141_0015,262,1-Jan-72,27-Jun-88,31.738889,-106.361111,6,48_141_0015,San Jose Road
48_141_0016,263,1-Jan-81,31-Dec-88,31.773333,-106.407778,6,48_141_0016,Trowbridge at Marlow
48_141_0017,264,1-Jan-71,31-Dec-74,31.759722,-106.411111,6,48_141_0017,Delta Fire Station
48_141_0018,265,1-Jan-71,30-Jun-88,31.766667,-106.438889,6,48_141_0018,Shelter Place
48_141_0019,266,1-Jan-71,31-Dec-88,31.7875,-106.454167,6,48_141_0019,Pershing
48_141_0020,267,1-Jan-71,31-Dec-74,31.855556,-106.446111,6,48_141_0020,Hercules Fire Station
48_141_0021,268,1-Jan-72,31-Dec-81,31.726944,-106.370833,6,48_141_0021,Thomas Manor Elementary School
48_141_0022,269,1-Jun-72,31-Dec-81,31.783333,-106.525,6,48_141_0022,International Boundary
48_141_0023,270,1-Jan-71,31-Dec-81,31.743889,-106.503611,6,48_141_0023,Kern Fire Station
48_141_0024,271,1-Jan-72,31-Dec-86,31.7875,-106.470833,6,48_141_0024,San Diego
48_141_0025,272,1-Jan-73,27-Jun-88,31.844167,-106.591667,6,48_141_0025,Zack White School
48_141_0027,273,1-Jan-73,16-Jan-04,31.763056,-106.486667,6,48_141_0027,EL PASO DOWNTOWN
48_141_0028,274,1-Jan-74,1-Sep-99,31.751667,-106.411111,6,48_141_0028,EL PASO EAST C30
48_141_0029,275,1-Jan-79,,31.7857687,-106.3235781,6,48_141_0029,Ivanhoe
48_141_0030,276,1-Jan-79,30-Jun-88,31.678611,-106.315278,6,48_141_0030,Socorro Road
48_141_0031,277,1-Jan-79,27-Jun-88,31.783333,-106.523056,6,48_141_0031,Paisano-Irrigation Gate Lock
48_141_0033,278,1-Jan-79,22-May-12,31.7772059,-106.5017115,6,48_141_0033,Kern
48_141_0036,279,1-Jan-81,30-Jun-88,31.853056,-106.5925,6,48_141_0036,Mulberry Avenue
48_141_0037,280,1-Jan-81,,31.7682914,-106.5012595,6,48_141_0037,El Paso UTEP
48_141_0038,281,1-Jan-81,,31.7338,-106.3721,6,48_141_0038,Riverside
48_141_0039,282,1-Jan-83,31-Dec-88,31.807778,-106.547222,6,48_141_0039,Teresita Church
48_141_0040,283,1-Jan-83,27-Jun-88,31.785,-106.501111,6,48_141_0040,Althea Park
48_141_0041,284,1-Jan-83,31-Dec-03,31.7605,-106.5004,6,48_141_0041,VILAS
48_141_0042,285,1-Jan-83,27-Jun-88,31.794722,-106.5075,6,48_141_0042,Krupp Drive
48_141_0043,286,6-Jan-91,31-Dec-99,31.652222,-106.291111,6,48_141_0043,Buford
48_141_0044,287,1-Apr-88,,31.7656854,-106.4552272,6,48_141_0044,El Paso Chamizal
48_141_0045,288,31-Aug-88,30-Jun-03,31.846667,-106.588333,6,48_141_0045,LINDBERGH
48_141_0047,289,13-Apr-93,,31.7759422,-106.4131769,6,48_141_0047,Womble
48_141_0050,290,4-Jun-90,11-Sep-09,31.672778,-106.284167,6,48_141_0050,Moon City
48_141_0051,291,1-Dec-90,30-Jan-14,31.801944,-106.420556,6,48_141_0051,Fort Bliss
48_141_0053,292,1-Dec-90,5-Dec-12,31.7585317,-106.5010446,6,48_141_0053,El Paso Sun Metro
48_141_0054,293,7-Jun-96,,31.7038461,-106.356022,6,48_141_0054,El Paso Lower Valley
48_141_0055,294,1-Sep-99,,31.7467753,-106.4028059,6,48_141_0055,Ascarate Park SE
48_141_0057,295,18-Nov-99,,31.6675,-106.288,6,48_141_0057,Socorro Hueco
48_141_0058,296,11-Jul-00,,31.8939133,-106.425827,6,48_141_0058,Skyline Park
48_141_0059,297,13-Apr-01,31-Jul-10,31.8146081,-106.464186,6,48_141_0059,Clendenin School
48_141_0101,298,1-Jan-78,31-Dec-78,0,0,6,48_141_0101,Smeltertown
48_141_0102,299,1-Jan-78,31-Dec-78,0,0,6,48_141_0102,Phelps Dodge
48_141_0693,300,5-Jul-10,,31.81337,-106.46452,6,48_141_0693,Van Buren
48_141_1002,301,1-Jan-72,31-Dec-75,31.882222,-106.582778,6,48_141_1002,Canutillo
48_141_1011,302,5-Aug-11,13-Aug-13,31.758476,-106.407346,6,48_141_1011,El Paso Delta
48_141_1021,303,15-Apr-13,,31.86247,-106.5473,6,48_141_1021,Ojo De Agua
48_149_0001,304,18-May-00,,29.9624745,-96.7458748,11,48_149_0001,Fayette County
48_157_0001,305,1-Jan-74,31-Dec-79,29.537222,-95.635556,12,48_157_0001,Radian-481570001
48_157_0002,306,1-Jan-78,31-Dec-88,29.475,-95.789722,12,48_157_0002,Radian-481570002
48_157_0003,307,1-Jan-74,31-Dec-82,29.415,-95.652778,12,48_157_0003,Radian-481570003
48_157_0004,308,1-Jan-90,31-Dec-90,29.565,-95.798889,12,48_157_0004,Rosenburg Public Works
48_157_0696,309,26-Feb-09,,29.5741,-95.6497,12,48_157_0696,UH Sugarland
48_167_0001,310,1-Jan-76,27-Jun-88,29.466667,-95.058333,12,48_167_0001,North City Building
48_167_0002,311,1-Jan-76,31-Dec-88,29.316667,-94.8,12,48_167_0002,Moody College
48_167_0003,312,1-Jan-80,31-Mar-82,29.276944,-94.820833,12,48_167_0003,Army Reserve Training Building
48_167_0004,313,1-Jan-72,,29.384444,-94.930833,12,48_167_0004,Texas City Fire Station
48_167_0005,314,20-Oct-97,,29.3852338,-94.9315197,12,48_167_0005,Texas City Ball Park
48_167_0012,315,1-Jan-73,31-Dec-81,29.363889,-94.948611,12,48_167_0012,Highway 519 at Highway 146
48_167_0013,316,1-Jan-76,27-Jun-88,29.335556,-94.929722,12,48_167_0013,Loop 197 at Highway 146
48_167_0014,317,1-Dec-93,22-Mar-07,29.263319,-94.8565681,12,48_167_0014,GALVESTON AIRPORT
48_167_0024,318,1-Jan-72,31-Dec-73,29.363889,-94.95,12,48_167_0024,Banana &amp; 3rd
48_167_0025,319,1-Jan-72,31-Dec-81,29.545833,-95.026389,12,48_167_0025,Clear Creek
48_167_0026,320,1-Jan-72,31-Dec-81,29.509722,-95.1,12,48_167_0026,Galveston County Park
48_167_0031,321,1-Jan-72,22-Jun-89,29.383333,-94.9,12,48_167_0031,Air Control Lab
48_167_0035,322,1-Jan-72,27-Jun-88,29.370833,-94.95,12,48_167_0035,Shady Lane
48_167_0042,323,1-Jan-72,31-Dec-72,29.365278,-94.979167,12,48_167_0042,Magnolia Street
48_167_0043,324,1-Jan-75,31-Dec-81,29.383611,-94.981944,12,48_167_0043,Washington &amp; Carver
48_167_0044,325,1-Jan-72,31-Dec-72,29.380556,-94.9625,12,48_167_0044,Texas City 5th &amp; Orchard
48_167_0045,326,1-Jan-72,31-Dec-73,29.397222,-94.948611,12,48_167_0045,Magnolia Street 2
48_167_0046,327,1-Jan-72,31-Dec-72,29.408333,-94.908333,12,48_167_0046,Loop 197 Lift Station
48_167_0047,328,1-Jan-72,27-Jun-88,29.283333,-94.823611,12,48_167_0047,Galveston 56 1/2 Street
48_167_0050,329,1-Jan-73,31-Dec-73,29.339167,-94.809167,12,48_167_0050,Texas City Dike
48_167_0051,330,1-Jan-74,11-Aug-83,29.395833,-94.986667,12,48_167_0051,Galveston County Hospital
48_167_0053,331,1-Jan-79,30-Jul-07,29.39,-94.919444,12,48_167_0053,NESSLER POOL
48_167_0056,332,1-Jun-03,,29.4057,-94.94712,12,48_167_0056,Texas City 34th Street
48_167_0571,333,12-Sep-03,,29.525556,-95.070556,12,48_167_0571,Clear Creek High School
48_167_0615,334,31-Dec-09,,29.38145,-94.94108,12,48_167_0615,Texas City BP 31st Street (Site 1)
48_167_0616,335,23-Mar-10,,29.36886,-94.91544,12,48_167_0616,Texas City BP Onsite (Site 2)
48_167_0621,336,7-Apr-10,,29.380981,-94.93022,12,48_167_0621,Texas City BP Logan Street (Site 3)
48_167_0683,337,1-Jan-10,31-Jul-16,29.3787,-94.91019,12,48_167_0683,Texas City 11th Street
48_167_0697,338,31-Mar-10,,29.3879,-95.0414,12,48_167_0697,UH Coastal Center
48_167_1001,339,1-Jan-72,31-Dec-81,29.530556,-95.198611,12,48_167_1001,Willowick
48_167_1002,340,1-Jan-74,10-Jul-04,29.397778,-94.933333,12,48_167_1002,TEXAS CITY
48_167_1003,341,1-Jan-72,31-Dec-81,29.388889,-94.904167,12,48_167_1003,Texas City North 5th &amp; 9th
48_167_1005,342,1-Jan-99,1-Mar-03,29.503889,-95.104444,12,48_167_1005,LEAGUE CITY COUNTY BLDG
48_167_1011,343,1-Jan-72,31-Dec-81,29.383611,-94.918056,12,48_167_1011,Texas City 16th &amp; Texas Avenue
48_167_1034,344,20-Mar-07,,29.2544736,-94.8612886,12,48_167_1034,Galveston 99th Street
48_167_1043,345,1-Jan-72,31-Dec-81,29.381944,-94.981944,12,48_167_1043,Texas City 1972-81
48_167_2001,346,1-Jan-59,31-Dec-81,29.3,-94.795833,12,48_167_2001,Rosenburg Avenue
48_167_3001,347,1-Jan-76,27-Jun-88,29.358333,-95,12,48_167_3001,Carbide Park
48_167_4001,348,1-Jan-71,27-Jun-88,29.525,-95.069444,12,48_167_4001,League City East Main
48_167_5001,349,1-Jan-59,31-Dec-71,29.405,-94.920833,12,48_167_5001,USEPA-481675001
48_167_5005,350,22-Jan-03,,29.270278,-94.864167,12,48_167_5005,Galveston Airport KGLS
48_175_0624,351,10-Jul-10,,28.720926,-97.220882,14,48_175_0624,Coleto
48_179_0001,352,1-Jan-72,31-Dec-81,35.5525,-100.958333,1,48_179_0001,Robert E. Lee JH School
48_181_0001,353,1-Jan-81,26-Dec-82,33.756944,-96.535278,4,48_181_0001,Grayson County Health Department
48_181_0002,354,1-Jan-72,31-Dec-81,33.641667,-96.611111,4,48_181_0002,Sherman Police Department
48_181_0003,355,1-Jan-74,31-Dec-81,33.635278,-96.615278,4,48_181_0003,Grayson County Health Department - Houston
48_183_0001,356,1-Jan-77,,32.3786823,-94.7118107,5,48_183_0001,Longview
48_183_0002,357,23-Aug-00,22-Oct-01,32.617778,-94.778889,5,48_183_0002,Longview Big Woods C605
48_187_0504,358,30-Aug-02,,29.7041667,-98.0288889,13,48_187_0504,New Braunfels Airport
48_187_0506,359,26-Mar-03,,29.588611,-97.932222,13,48_187_0506,Seguin Outdoor Learning Center
48_187_5004,360,22-Jan-03,,29.7086111,-98.0452778,13,48_187_5004,New Braunfels Airport KBAZ
48_189_0001,361,1-Jan-75,31-Dec-81,34.180833,-101.736389,2,48_189_0001,Plainview High School
48_199_0002,362,1-Jan-89,31-Dec-93,30.381389,-94.315556,10,48_199_0002,Kountze City Hall
48_201_0001,363,1-Jan-67,11-Aug-83,29.723056,-94.945833,12,48_201_0001,Roseland Park
48_201_0002,364,1-Jan-67,27-Dec-84,29.749444,-94.980556,12,48_201_0002,Park Court Water Tower
48_201_0003,365,1-Jan-70,31-Dec-81,29.773056,-95.029167,12,48_201_0003,Bayway Drive Fire Station
48_201_0004,366,1-Dec-79,15-Jul-97,29.770278,-95.011944,12,48_201_0004,McElroy Park
48_201_0005,367,1-Jan-72,31-Dec-81,30.051944,-95.430833,12,48_201_0005,Spring High School
48_201_0006,368,1-Jan-72,31-Dec-81,29.791111,-95.124167,12,48_201_0006,Channelview High School
48_201_0007,369,1-Jan-68,27-Jun-95,29.720833,-95.383889,12,48_201_0007,Houston City Health Department
48_201_0008,370,1-Jan-67,31-Dec-81,29.7,-95.44,12,48_201_0008,Aberdeen
48_201_0009,371,1-Jan-67,22-Apr-88,29.71,-95.511944,12,48_201_0009,Bellaire
48_201_0010,372,1-Jan-67,27-Aug-89,29.740833,-95.439167,12,48_201_0010,Alabama
48_201_0011,373,1-Jan-68,31-Dec-81,29.82,-95.483889,12,48_201_0011,Bingle-Malibu
48_201_0012,374,1-Jan-67,31-Dec-81,29.856111,-95.381667,12,48_201_0012,Fulton
48_201_0013,375,1-Jan-67,31-Dec-81,29.827222,-95.284722,12,48_201_0013,North Wayside
48_201_0014,376,1-Jan-68,31-Dec-81,29.774722,-95.282222,12,48_201_0014,Pearl
48_201_0015,377,1-Jan-68,31-Dec-81,29.769444,-95.203889,12,48_201_0015,Market
48_201_0016,378,1-Jan-67,31-Dec-81,29.777778,-95.1875,12,48_201_0016,Vicksburg
48_201_0017,379,1-Jan-73,13-Apr-83,29.733056,-95.213056,12,48_201_0017,Clinton-Federal
48_201_0018,380,1-Jan-73,31-Dec-81,29.747222,-95.175,12,48_201_0018,Bulk Materials Plant
48_201_0019,381,1-Jan-72,22-Apr-88,29.745833,-95.202778,12,48_201_0019,Port Houston Terminal Office
48_201_0020,382,1-Jan-73,13-Apr-83,29.751944,-95.103056,12,48_201_0020,Bethlehem Steel
48_201_0021,383,1-Jan-76,31-Dec-81,29.720278,-95.275,12,48_201_0021,Brady Island
48_201_0023,384,1-Jan-73,13-Apr-83,29.725,-95.052778,12,48_201_0023,HL&amp;P Bertron Station
48_201_0024,385,1-Jan-74,,29.9010364,-95.3261373,12,48_201_0024,Houston Aldine
48_201_0025,386,1-Jan-79,13-Apr-83,29.748611,-95.164444,12,48_201_0025,Bulk Materials Plant 2
48_201_0026,387,1-Jan-80,,29.8027073,-95.1254948,12,48_201_0026,Channelview
48_201_0029,388,1-Jan-81,,30.039524,-95.6739508,12,48_201_0029,Northwest Harris County
48_201_0030,389,6-Dec-05,2-Oct-07,29.8542881,-95.1287108,12,48_201_0030,Channelview North
48_201_0031,390,1-Jan-83,27-Dec-84,29.778611,-95.171389,12,48_201_0031,Cloverleaf
48_201_0036,391,19-Jul-06,,29.7761,-95.1051,12,48_201_0036,Jacinto Port
48_201_0038,392,1-Jan-75,31-Dec-82,29.837778,-95.285556,12,48_201_0038,Parkhurst
48_201_0039,393,1-Jan-75,31-Dec-84,29.6125,-95.279167,12,48_201_0039,Fuqua
48_201_0040,394,1-Jan-76,31-Dec-88,29.733056,-95.523889,12,48_201_0040,Jeannetta
48_201_0041,395,1-Jan-76,27-Aug-89,29.801389,-95.4375,12,48_201_0041,Seamist
48_201_0042,396,1-Jan-76,31-Dec-88,29.634167,-95.228889,12,48_201_0042,Hartsook
48_201_0043,397,1-Jan-76,22-Apr-88,29.637778,-95.355278,12,48_201_0043,Cullen
48_201_0044,398,1-Jan-68,31-Dec-88,29.697222,-95.438611,12,48_201_0044,Aberdeen 2
48_201_0045,399,1-Jan-76,1-Jan-99,29.834444,-95.493889,12,48_201_0045,BINGLE
48_201_0046,400,1-Jan-76,,29.8280859,-95.2840958,12,48_201_0046,Houston North Wayside
48_201_0047,401,1-Jan-78,,29.834167,-95.489167,12,48_201_0047,Lang
48_201_0048,402,1-Jan-77,29-Dec-94,29.856667,-95.382778,12,48_201_0048,Fulton 2
48_201_0049,403,1-Jan-78,31-Dec-81,29.775833,-95.306944,12,48_201_0049,Kress
48_201_0050,404,1-Jan-78,31-Dec-81,29.7725,-95.205278,12,48_201_0050,Market 2
48_201_0051,405,1-Jan-78,,29.623889,-95.474167,12,48_201_0051,Houston Croquet
48_201_0052,406,1-Jan-79,31-Dec-81,29.7275,-95.276389,12,48_201_0052,Clinton Drive
48_201_0053,407,1-Jan-79,31-Dec-81,29.787222,-95.191667,12,48_201_0053,Granada
48_201_0054,408,1-Jan-80,25-Oct-96,29.775833,-95.3075,12,48_201_0054,Kress 2
48_201_0055,409,24-Mar-98,,29.6957294,-95.499219,12,48_201_0055,Houston Bayland Park
48_201_0056,410,13-Dec-80,31-Dec-88,29.776944,-95.335833,12,48_201_0056,Gregg
48_201_0057,411,21-Oct-97,,29.734231,-95.238469,12,48_201_0057,Galena Park
48_201_0058,412,25-Mar-98,,29.7706975,-95.0312316,12,48_201_0058,Baytown
48_201_0059,413,1-Jan-81,21-Jan-98,29.705833,-95.281111,12,48_201_0059,MANCHESTER
48_201_0060,414,10-Feb-00,,29.8074146,-95.2936223,12,48_201_0060,Houston Kirkpatrick
48_201_0061,415,28-May-98,,29.6150008,-95.0181324,12,48_201_0061,Shore Acres
48_201_0062,416,1-Jan-84,,29.625556,-95.267222,12,48_201_0062,Houston Monroe
48_201_0063,417,1-Jan-84,22-Apr-88,29.725,-95.35,12,48_201_0063,Smith Branch Library
48_201_0064,418,19-Jan-93,1-May-99,29.699444,-95.268889,12,48_201_0064,ALLENDALE SUBDIVISION
48_201_0066,419,1-Jul-94,,29.723333,-95.635833,12,48_201_0066,Houston Westhollow
48_201_0068,420,1-Dec-93,3-May-12,29.9475484,-95.5428231,12,48_201_0068,Houston Wharton
48_201_0069,421,7-Apr-99,,29.7062492,-95.2611301,12,48_201_0069,Milby Park
48_201_0070,422,3-May-00,15-Jun-12,29.73512,-95.3156,12,48_201_0070,Houston Regional Office
48_201_0071,423,17-Jul-00,31-Dec-16,29.7164829,-95.2013298,12,48_201_0071,Pasadena HL&amp;P
48_201_0075,424,30-Mar-01,24-Oct-16,29.752778,-95.350278,12,48_201_0075,Houston Texas Avenue
48_201_0101,425,1-Jan-77,31-Dec-81,0,0,12,48_201_0101,USEPA-482010101
48_201_0307,426,9-May-05,,29.718799,-95.2599093,12,48_201_0307,Manchester/Central
48_201_0416,427,22-Feb-06,,29.686389,-95.294722,12,48_201_0416,Park Place
48_201_0551,428,17-Apr-02,,29.8586111,-95.1602778,12,48_201_0551,Sheldon
48_201_0552,429,11-Jun-03,,29.7330556,-94.9847222,12,48_201_0552,Baytown Wetlands Center
48_201_0553,430,16-Jun-03,,29.9208333,-95.0683333,12,48_201_0553,Crosby Library
48_201_0554,431,24-Dec-03,,29.8330556,-95.6569444,12,48_201_0554,West Houston
48_201_0555,432,1-Jan-04,18-Mar-10,30.0547222,-95.185,12,48_201_0555,Kingwood Library C555
48_201_0556,433,1-Jan-04,,29.6552778,-95.0097222,12,48_201_0556,La Porte Sylvan Beach
48_201_0557,434,12-Feb-04,,30.0380556,-95.3811111,12,48_201_0557,Mercer Arboretum
48_201_0558,435,6-Feb-04,,29.5894444,-95.3536111,12,48_201_0558,Tom Bass
48_201_0559,436,12-Mar-04,,29.8105556,-95.8061111,12,48_201_0559,Katy Park
48_201_0560,437,29-Jul-04,,29.961944,-95.235,12,48_201_0560,Atascocita
48_201_0561,438,30-Jul-04,,30.011667,-95.5225,12,48_201_0561,Meyer Park
48_201_0562,439,8-Oct-04,,29.778333,-95.538056,12,48_201_0562,Bunker Hill Village
